"Id","GenreID","Title","ReleaseYear","Rating","Length","Plot"
"001","01","Alla ricerca di Nemo",2003,"8,2",100,"Dopo che il suo unico figlio è stato catturato da pescatori e portato a vivere in un acquario a Sydney, un pesce deve intraprendere un lungo e pericoloso viaggio per salvarlo. "
"002","01","Cattivissimo me",2010,"7,6",92,"Un genio del male adotta tre orfane per utilizzarle a scopi criminosi, ma scopre che il loro amore sta cambiando la sua personalità. "
"003","04","Apocalypse Now",1979,"8,4",147,"Durante la guerra del Vietnam, il Capitano Willard viene inviato in una pericolosa missione in Cambogia per assassinare un colonnello rinnegato che si è stabilito come un dio tra una tribù locale. "
"004","05","Il cavaliere oscuro",2008,9,152,"Quando una minaccia chiamata Joker emerge dal suo misterioso passato creando scompiglio e caos nella città di Gotham, il Cavaliere Oscuro deve affrontare le più grandi sfide psicologiche e fisiche per combattere l'ingiustizia. "
"005","03","Fantozzi",1975,"7,9",108,"Un italiano buono ma sfortunato si trova costantemente in situazioni difficili, ma non perde mai il suo buon umore. "
"006","01","Il mio vicino Totoro",1988,"8,1",86,"Quando due ragazze si trasferiscono in campagna per stare vicine alla madre malata, vivono delle avventure con i meravigliosi spiriti della foresta che dimorano nelle vicinanze. "
"007","07","The Wolf of Wall Street",2013,"8,2",180,"Basato sulla storia vera di Jordan Belfort, dalla sua ascesa a un ricco agente di borsa facendo la bella vita, fino alla sua caduta che coinvolse criminalità, corruzione e il governo federale americano. "
"008","08","Memento",2000,"8,4",113,"Un uomo che soffre di una particolare forma di amnesia tenta di individuare l'assassino di sua moglie per vendicarsi. "
"009","05","Matrix",1999,"8,7",136,"Grazie a misteriosi ribelli, un hacker scopre la vera natura della sua realtà e il suo ruolo nella guerra contro i suoi controllori. "
"010","08","Interstellar",2014,"8,7",169,"Una squadra di esploratori viaggia attraverso un tunnel spaziale nel tentativo di assicurare la sopravvivenza dell'umanità. "
"011","05","Inception",2010,"8,8",148,"Un ladro che ruba i segreti aziendali attraverso l'uso della tecnologia di condivisione dei sogni ha il compito inverso di inserire un'idea nella mente di un direttore generale. "
"012","04","The Prestige",2006,"8,5",130,"Dopo un tragico incidente, due prestigiatori si imbarcano in una battaglia per creare l'illusione finale sacrificando tutto ciò che hanno per superare l'un l'altro. "
"013","07","Oppenheimer",2023,"8,6",180,"La storia dello scienziato americano J. Robert Oppenheimer e del suo ruolo nello sviluppo della bomba atomica."
"014","04","Cloud Atlas",2012,"7,4",172,"Un'esplorazione di come le azioni di un singolo individuo riescano ad avere un impatto su altre vite nel passato, presente e futuro "
"015","04","Requiem for a dream",2000,"8,3",102,"Le utopie di droga di quattro persone di Coney Island vengono distrutte quando le loro dipendenze diventano profonde. "
"016","03","Il favoloso mondo di Amélie",2001,"8,3",122,"Amelie è una ragazza di Parigi innocente ed ingenua, con un forte senso di giustizia, che usa per aiutare le persone che la circondano. "
"017","08","The Martian",2015,8,142,"Un astronauta viene arenato su Marte dopo che la sua squadra lo presume morto, e deve contare sulla sua ingegnosità per trovare un modo di segnalare alla Terra che sta vivo. "
"018","04","Trainspotting",1996,"8,1",93,"Renton, un eroinomane ad Edinburgo, tenta di smettere di drogarsi e cominciare una nuova vita, ma fatica a liberarsi dall'influenza delle droghe e dei suoi amici. "
"019","09","The Millionaire",2008,8,120,"Un giovane di Mumbai riflette sulla sua infanzia quando viene accusato di aver barato durante un quiz televisivo. "
"020","04","L’onda",2008,"7,6",107,"L'esperimento di un insegnante volto a dimostrare ai propri studenti cosa significa vivere in un regime di dittatura gli scappa terribilmente di mano quando crea un movimento sociale dotato di vita propria. "
"021","02","Into the Wild",2007,"8,1",148,"Dopo essersi laureato, il brillante studente ed atleta Christopher McCandless si libera di tutti i suoi beni materiali, offre tutti i suoi risparmi in beneficenza e gira per l'America incontrando una varia gamma di persone, per finire a vivere a contatto con la natura in Alaska. "
"022","03","Thank you for smoking",2005,"7,5",82,"Commedia satirica che segue le macchinazioni del portavoce capo della Big Tobacco, Nick Naylor, che fa gli interessi dell'industria del tabacco mentre cerca di restare una figura di riferimento per il figlio di dodici anni. "
"023","10","Draquila l’Italia che trema",2010,"7,5",93,"Un'inchiesta sulla gestione del terremoto dell'Aquila del 2009 da parte del governo Berlusconi e del suo staff."
"024","09","The Departed – Il bene e il male",2006,"8,5",151,"Un poliziotto in borghese e una talpa nella polizia tentano di identificarsi mentre si infiltrano in una banda irlandese di South Boston. "
"025","06","The Social Network",2010,"7,8",120,"Lo studente di Harvard Mark Zuckerberg crea il social network che diventerà noto come Facebook, ma viene citato in giudizio da due fratelli che dichiarano di esserne i veri ideatori e da un socio fondatore che è stato estromesso dalla società "
"026","03","Una settimana da Dio",2003,"6,8",101,"Un uomo si lamenta di Dio in maniera troppo assidua e riceve poteri immensi per comprendere quanto sia difficile gestire il mondo. "
"027","11","The others",2001,"7,6",101,"Una donna vive nella sua vecchia casa di famiglia avvolta nell'oscurità insieme ai due figli fotosensibili. Presto si convince che la casa sia infestata dai fantasmi. "
"028","09","Crash – contatto fisico",2004,"7,7",112,"Le vite di abitanti di Los Angeles di ogni razza e ceto sociale entrano in collisione in scenari inaspettati. "
"029","05","21 Jump Street",2012,"7,2",109,"Una coppia di poliziotti incapaci viene incaricata di impersonare studenti di liceo per investigare un giro di droga sintetica. "
"030","05","The day after tomorrow",2004,"6,5",124,"Il paleoclimatologo Jack Hill deve andare da Washingon a New York per salvare suo figlio, rimasto intrappolato dopo che una tempesta globale ha fatto precipitare il pianeta in una nuova era glaciale. "
"031","10","Giace immobile",2013,,89,"Analisi lucida e impietosa sul crollo del mito italiano del mattone. Un viaggio oscuro tra speculazione edilizia, usura bancaria, miopia politica, fallimenti aziendali, devastanti alluvioni e un enorme, irreversibile consumo di suolo. "
"032","03","La vita è bella",1997,"8,6",116,"Un cameriere ebreo ed il figlio vengono internati in un campo di concentramento nazista. Per proteggere il figlio dagli orrori dell'Olocausto, dovrà ricorrere al suo senso dell'umorismo e alla sua immaginazione. "
"033","05","Minority report",2002,"7,6",145,"In un futuro in cui uno speciale corpo di polizia è in grado di arrestare gli assassini prima che commettano il crimine, un agente viene accusato di un futuro omicidio e deve fuggire per dimostrare la propria innocenza. "
"034","06","Prova a prendermi",2002,"8,1",141,"Un veterano agente dell'FBI è alla caccia di Frank Abbagnale Jr., un brillante truffatore che alla sola età di 19 anni ha già falsificato assegni per milioni di dollari ed impersonato con successo dottori, piloti ed avvocati. "
"035","05","Io, robot",2004,"7,1",115,"Nel 2035, un poliziotto indaga su un omicidio dove il sospetto principale è un robot, e scopre un complotto con ramificazioni ben più profonde. "
"036","05","Oblivion",2013,"7,0",124,"Un veterano a cui è stato assegnato il compito di supervisionare l'estraziopne di risorse minerarie dal pianeta Terra score che la sua missione nasconde qualcosa di più sinistro. "
"037","04","Eternal Sunshine of the Spotless Mind",2004,"8,3",108,"Quando la loro relazione diventa acida, una coppia si sottopone a una procedura medica per farsi cancellare l'un l'altro dai propri ricordi. "
"038","04","A.I. - Intelligenza artificiale",2001,"7,2",146,"Un androide sogna di diventare umano per riconquistare l'amore della madre. "
"39","01","WALL·E",2008,"8,4",98,"Nel futuro, l'umanità ha abbandonato il pianeta Terra popolato ora soltanto da un piccolo robot che continua il sul lavoro di raccogliere e riciclare immondizia. "
"40","12","Full Metal Jacket",1987,"8,3",116,"Un Marine americano pragmatico osserva gli effetti disumanizzanti che la guerra del Vietnam ha esercitato sui suoi compagni reclute dal loro addestramento brutale alle lotte da strada sanguinose a Hue. "
"41","02","Ritorno al futuro",1985,"8,5",116,"Marty McFly, uno studente di 17 anni del liceo, viene accidentalmente mandato trent'anni nel passato in una macchina che viaggia nel tempo inventata dal suo amico lo scienziato anticonformista Doc Brown."
