"Movie_Id","Director_Id"
"009","02"
"009","03"
"001","04"
"001","05"
"013","01"
"008","01"
"002","06"
"002","07"
"003","08"
"004","01"
"005","09"
"006","10"
"007","11"
"010","01"
"011","01"
"012","01"
"014","12"
"014","02"
"014","03"
"015","13"
"016","14"
"017","15"
"018","16"
"019","16"
"019","17"
"020","18"
"021","19"
"022","20"
"023","21"
"024","11"
"025","22"
"026","23"
"027","24"
"028","25"
"029","26"
"029","27"
"030","28"
"031","29"
"032","30"
"033","31"
"034","31"
"035","32"
"036","33"
"037","34"
"038","31"
"39","04"
"040","35"
"041","36"
